fid,crs28992re,num_inhabi,num_0_15,num_15_25,num_25_45,num_45_65,num_65+,per_dutch,per_west,per_nonwes,avg_woz,num_social,Dis_Bicycl,Dis_Bicy_1,Dis_Bowlin,Dis_Bowl_1,Dis_Cinema,Dis_Cine_1,Dis_CityOf,Dis_City_1,Dis_Doctor,Dis_Doct_1,Dis_IceCre,Dis_IceC_1,Dis_Librar,Dis_Libr_1,Dis_Market,Dis_Mark_1,Dis_MetroS,Dis_Metr_1,Dis_Park_C,Dis_Park_1,Dis_Playgr,Dis_Play_1,Dis_School,Dis_Scho_1,Dis_Superm,Dis_Supe_1,Dis_Swimmi,Dis_Swim_1,Dis_TramSt,Dis_Tram_1,INDEX_WALK,VALUEPET,num_inh_2,,CR_FOOT_I,Old People_per_old_65
119412,E1204N4846,85,10,15,10,25,25,70,30,-99997,1725,-99997,10004.00937,100,10004.00937,100,10004.00937,100,0,0,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,10004.00937,100,0.93,79.05,85,85,1,29
119413,E1205N4846,15,-99997,-99997,-99997,5,-99997,90,-99997,-99997,-99997,-99997,10004.01022,100,10004.01022,100,10004.01022,100,0,0,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,10004.01022,100,0.93,13.95,15,15,1,13
119380,E1170N4846,260,35,50,75,70,25,10,10,80,392,50,10003.9791,100,10003.9791,100,0,0,0,0,10003.9791,100,0,0,0,0,10003.9791,100,10003.9791,100,10003.9791,100,10003.9791,100,10003.9791,100,10003.9791,100,0,0,10003.9791,100,0.67,174.2,260,260,1,10
119379,E1169N4846,255,75,35,100,40,5,20,10,70,380,30,10003.97816,100,10003.97816,100,0,0,0,0,10003.97816,100,0,0,0,0,10003.97816,100,10003.97816,100,10003.97816,100,10003.97816,100,10003.97816,100,10003.97816,100,0,0,10003.97816,100,0.67,170.85,255,255,1,2
119378,E1168N4846,150,45,25,35,35,5,10,0,90,374,40,10003.97723,100,10003.97723,100,0,0,0,0,10003.97723,100,0,0,0,0,10003.97723,100,10003.97723,100,10003.97723,100,10003.97723,100,10003.97723,100,10003.97723,100,0,0,10003.97723,100,0.67,100.5,150,150,1,3
119113,E1170N4847,40,20,-99997,20,-99997,-99997,40,10,50,294,-99997,10003.97857,100,10003.97857,100,0,0,0,0,10003.97857,100,0,0,0,0,10003.97857,100,10003.97857,100,10003.97857,100,10003.97857,100,10003.97857,100,10003.97857,100,0,0,10003.97857,100,0.67,26.8,40,40,1,5
119114,E1171N4847,10,-99997,-99997,10,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10003.9795,100,10003.9795,100,0,0,0,0,10003.9795,100,0,0,0,0,10003.9795,100,10003.9795,100,10003.9795,100,10003.9795,100,10003.9795,100,10003.9795,100,0,0,10003.9795,100,0.67,6.7,10,10,1,20
119115,E1172N4847,270,30,25,50,55,110,40,10,60,403,40,10003.98043,100,10003.98043,100,0,0,0,0,10003.98043,100,0,0,0,0,10003.98043,100,10003.98043,100,10003.98043,100,10003.98043,100,10003.98043,100,10003.98043,100,0,0,10003.98043,100,0.67,180.9,270,270,1,41
119116,E1173N4847,95,5,-99997,60,15,10,40,40,20,290,5,10003.98135,100,10003.98135,100,0,0,0,0,10003.98135,100,0,0,0,0,10003.98135,100,10003.98135,100,6510.545545,65.07954497,10003.98135,100,10003.98135,100,10003.98135,100,0,0,10003.98135,100,0.64,60.8,95,83.98,0.884,11
119117,E1174N4847,125,25,10,50,30,10,20,10,80,234,35,10003.98228,100,10003.98228,100,0,0,0,0,10003.98228,100,0,0,0,0,10003.98228,100,10003.98228,100,165.4410831,1.653752261,10003.98228,100,10003.98228,100,10003.98228,100,0,0,10003.98228,100,0.6,75,125,84,0.672,8
