fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"121738",E1214N4837,"411","0.80"
"121737",E1213N4837,"601","0.80"
"122604",E1226N4833,"454","0.67"
"122818",E1221N4832,"1920","0.79"
"122820",E1226N4832,"497","0.67"
"122821",E1227N4832,"440","0.62"
"123040",E1209N4831,"733","0.89"
"119414",E1209N4846,"506","0.98"
"119415",E1210N4846,"461","1.00"
"119416",E1211N4846,"443","1.00"
"119417",E1214N4846,"414","0.97"
"119418",E1215N4846,"424","1.00"
"119419",E1216N4846,"368","0.99"
"119420",E1217N4846,"391","0.96"
"119421",E1218N4846,"437","0.94"
"119422",E1219N4846,"403","0.91"
"119423",E1220N4846,"437","0.87"
"119424",E1221N4846,"406","0.86"
"119425",E1222N4846,"425","0.84"
"119426",E1223N4846,"421","0.81"
"119427",E1224N4846,"493","0.80"
"119429",E1226N4846,"604","0.80"
"119431",E1230N4846,"215","0.93"
"119432",E1231N4846,"214","0.93"
"119433",E1232N4846,"224","0.93"
"119434",E1233N4846,"410","0.93"
"119435",E1240N4846,"341","0.87"
"119436",E1241N4846,"737","0.82"
"119437",E1242N4846,"845","0.80"
"119438",E1243N4846,"623","0.78"
"119439",E1244N4846,"498","0.73"
"119440",E1245N4846,"458","0.71"
"119441",E1246N4846,"476","0.67"
"119148",E1209N4847,"503","0.94"
"119149",E1210N4847,"430","0.98"
"119150",E1211N4847,"449","1.00"
"119151",E1212N4847,"417","1.00"
"119152",E1213N4847,"435","1.00"
"119153",E1214N4847,"426","0.96"
"119154",E1215N4847,"425","0.91"
"119155",E1216N4847,"394","0.92"
"119156",E1217N4847,"367","0.93"
"119157",E1218N4847,"394","0.93"
"119158",E1219N4847,"409","0.93"
"119159",E1220N4847,"406","0.84"
"119160",E1221N4847,"394","0.80"
"119161",E1222N4847,"426","0.80"
"119162",E1223N4847,"410","0.80"
"119163",E1224N4847,"587","0.80"
"119164",E1226N4847,"535","0.80"
"119165",E1227N4847,"387","0.84"
"119167",E1231N4847,"225","0.93"
"119168",E1232N4847,"188","0.93"
"119169",E1233N4847,"214","0.91"
"119172",E1242N4847,"911","0.80"
"119173",E1243N4847,"720","0.80"
"119174",E1244N4847,"473","0.76"
"119175",E1245N4847,"423","0.73"
"119176",E1246N4847,"391","0.67"
"119177",E1247N4847,"396","0.67"
"120976",E1212N4840,"595","0.92"
"120977",E1213N4840,"610","0.88"
"120978",E1214N4840,"545","0.81"
"120979",E1215N4840,"580","0.80"
"120980",E1216N4840,"648","0.80"
"120981",E1217N4840,"538","0.80"
"120982",E1218N4840,"556","0.81"
"120983",E1219N4840,"450","0.84"
"120984",E1220N4840,"333","0.89"
"120985",E1221N4840,"433","0.89"
"120986",E1222N4840,"427","0.87"
"120987",E1223N4840,"491","0.84"
"120988",E1224N4840,"381","0.86"
"120989",E1225N4840,"380","0.87"
"120990",E1226N4840,"485","0.87"
"120992",E1228N4840,"696","0.77"
"120993",E1229N4840,"534","0.73"
"120994",E1231N4840,"313","0.67"
"120995",E1232N4840,"362","0.67"
"120996",E1233N4840,"320","0.67"
"120997",E1234N4840,"560","0.67"
"120998",E1235N4840,"451","0.69"
"120999",E1236N4840,"325","0.70"
"121000",E1237N4840,"323","0.71"
"121001",E1238N4840,"323","0.64"
"117045",E1212N4854,"380","0.93"
"117046",E1213N4854,"383","0.93"
"117047",E1214N4854,"398","0.93"
"117048",E1215N4854,"385","0.93"
"117049",E1216N4854,"437","0.93"
"117050",E1217N4854,"511","0.93"
"117051",E1218N4854,"441","0.93"
"117052",E1219N4854,"358","0.91"
"117053",E1220N4854,"536","0.87"
