fid,crs28992re,num_social,INDEX_WALK
"122398",E1238N4834,"100","0.59"
"122394",E1231N4834,"35","0.57"
"122185",E1232N4835,"25","0.67"
"122184",E1231N4835,"20","0.67"
"122183",E1230N4835,"15","0.72"
"121975",E1231N4836,"15","0.67"
"121974",E1230N4836,"10","0.72"
"121753",E1233N4837,"5","0.67"
"121752",E1232N4837,"5","0.67"
"121751",E1231N4837,"15","0.67"
"121748",E1224N4837,"10","0.84"
"121747",E1223N4837,"5","0.80"
"121746",E1222N4837,"10","0.80"
"121745",E1221N4837,"10","0.77"
"122822",E1236N4832,"5","0.44"
"119697",E1232N4845,"5","0.89"
"119959",E1233N4844,"5","0.87"
"119699",E1234N4845,"10","0.93"
"119960",E1234N4844,"10","0.87"
"119700",E1238N4845,"10","0.93"
"119961",E1238N4844,"15","0.88"
"119701",E1239N4845,"30","0.89"
"119962",E1239N4844,"35","0.84"
"120219",E1239N4843,"5","0.72"
"119702",E1240N4845,"20","0.87"
"119963",E1240N4844,"35","0.81"
"120220",E1240N4843,"15","0.69"
"120485",E1240N4842,"15","0.67"
"119964",E1241N4844,"15","0.76"
"120221",E1241N4843,"35","0.64"
"120486",E1241N4842,"30","0.62"
"120748",E1241N4841,"5","0.60"
"119965",E1242N4844,"25","0.73"
"120222",E1242N4843,"20","0.60"
"120487",E1242N4842,"15","0.60"
"119705",E1243N4845,"15","0.74"
"119966",E1243N4844,"10","0.72"
"120223",E1243N4843,"10","0.60"
"119967",E1244N4844,"25","0.68"
"119707",E1245N4845,"10","0.69"
"121250",E1234N4839,"5","0.67"
"121251",E1235N4839,"10","0.67"
"121252",E1236N4839,"5","0.67"
"121512",E1232N4838,"10","0.67"
"121515",E1235N4838,"10","0.69"
"121517",E1246N4838,"10","0.55"
"127942",E1251N4806,"25","0.66"
"127733",E1252N4807,"15","0.68"
"127943",E1252N4806,"30","0.68"
"128360",E1252N4804,"10","0.69"
"127521",E1253N4808,"30","0.73"
"127316",E1253N4809,"40","0.72"
"127734",E1253N4807,"15","0.73"
"128145",E1253N4805,"25","0.73"
"128361",E1253N4804,"45","0.73"
"128577",E1253N4803,"10","0.73"
"129043",E1253N4801,"15","0.69"
"129286",E1253N4800,"10","0.67"
"127522",E1254N4808,"55","0.73"
"127317",E1254N4809,"15","0.73"
"127735",E1254N4807,"45","0.73"
"127944",E1254N4806,"10","0.73"
"128146",E1254N4805,"15","0.73"
"128362",E1254N4804,"35","0.73"
"128578",E1254N4803,"60","0.73"
"128815",E1254N4802,"40","0.73"
"129044",E1254N4801,"10","0.73"
"129545",E1254N4799,"35","0.65"
"129801",E1254N4798,"25","0.52"
"125581",E1246N4818,"5","0.53"
"125582",E1247N4818,"10","0.53"
"125583",E1248N4818,"35","0.53"
"125584",E1249N4818,"40","0.54"
"125585",E1250N4818,"20","0.61"
"125397",E1247N4819,"45","0.53"
"125398",E1248N4819,"65","0.53"
"125399",E1249N4819,"40","0.53"
"125400",E1250N4819,"50","0.55"
"125222",E1247N4820,"10","0.53"
"125223",E1248N4820,"35","0.53"
"125224",E1249N4820,"45","0.53"
"125225",E1250N4820,"45","0.53"
"125042",E1249N4821,"15","0.53"
"125043",E1250N4821,"30","0.53"
"125749",E1246N4817,"65","0.48"
"125748",E1245N4817,"20","0.48"
"125944",E1246N4816,"30","0.40"
"125943",E1245N4816,"40","0.32"
"126144",E1246N4815,"45","0.44"
"126143",E1245N4815,"10","0.40"
"126339",E1246N4814,"65","0.47"
"126539",E1246N4813,"30","0.48"
"127096",E1248N4810,"30","0.55"
"127097",E1249N4810,"10","0.57"
"127098",E1250N4810,"15","0.63"
"122187",E1245N4835,"10","0.55"
"122188",E1246N4835,"25","0.60"
"122189",E1247N4835,"25","0.60"
"122190",E1248N4835,"20","0.60"
"122191",E1249N4835,"15","0.68"
"122192",E1250N4835,"5","0.73"
"121976",E1245N4836,"15","0.57"
"121977",E1246N4836,"20","0.60"
"121978",E1247N4836,"25","0.60"
"121979",E1248N4836,"20","0.60"
"121980",E1249N4836,"10","0.67"
"121981",E1250N4836,"15","0.73"
"121982",E1251N4836,"20","0.76"
"121755",E1245N4837,"10","0.60"
"121756",E1246N4837,"10","0.60"
"121757",E1247N4837,"15","0.60"
"121758",E1248N4837,"20","0.59"
"121759",E1249N4837,"20","0.64"
"121760",E1250N4837,"15","0.73"
"121518",E1247N4838,"15","0.57"
"121519",E1248N4838,"35","0.54"
"121520",E1249N4838,"15","0.60"
"121521",E1250N4838,"15","0.73"
"121254",E1247N4839,"10","0.53"
"121255",E1248N4839,"25","0.53"
"121256",E1249N4839,"35","0.58"
"121257",E1250N4839,"20","0.73"
"121002",E1248N4840,"10","0.54"
"121003",E1249N4840,"20","0.57"
"121004",E1250N4840,"30","0.69"
"120750",E1249N4841,"30","0.63"
"122401",E1248N4834,"5","0.63"
"126896",E1247N4811,"15","0.54"
"126719",E1247N4812,"70","0.57"
"126540",E1247N4813,"50","0.56"
"125750",E1247N4817,"50","0.52"
"125945",E1247N4816,"10","0.40"
"126145",E1247N4815,"50","0.44"
"126340",E1247N4814,"40","0.52"
"126897",E1248N4811,"15","0.61"
"126720",E1248N4812,"75","0.63"
"126541",E1248N4813,"40","0.62"
"125751",E1248N4817,"20","0.53"
"125946",E1248N4816,"10","0.48"
"126146",E1248N4815,"30","0.55"
"126341",E1248N4814,"30","0.60"
"126898",E1249N4811,"30","0.65"
"126721",E1249N4812,"15","0.67"
"126542",E1249N4813,"25","0.67"
"125752",E1249N4817,"5","0.60"
"126342",E1249N4814,"10","0.65"
"126899",E1250N4811,"10","0.68"
"120710",E1195N4841,"10","0.70"
"120450",E1202N4842,"10","0.68"
"120446",E1198N4842,"5","0.67"
"120445",E1197N4842,"5","0.67"
"120444",E1196N4842,"10","0.67"
"120443",E1195N4842,"20","0.67"
"119673",E1202N4845,"10","0.69"
"119672",E1201N4845,"10","0.67"
"119671",E1200N4845,"5","0.65"
"119667",E1196N4845,"5","0.60"
"125216",E1206N4820,"10","0.47"
"125214",E1204N4820,"5","0.45"
"125212",E1202N4820,"15","0.53"
"125211",E1201N4820,"20","0.51"
"125209",E1199N4820,"10","0.46"
"125208",E1198N4820,"5","0.42"
"125207",E1197N4820,"15","0.40"
"125037",E1209N4821,"20","0.48"
"125036",E1208N4821,"30","0.52"
"125035",E1207N4821,"25","0.47"
"125034",E1206N4821,"10","0.47"
"125033",E1205N4821,"10","0.49"
"125032",E1204N4821,"15","0.59"
"125031",E1203N4821,"10","0.56"
"125030",E1202N4821,"15","0.53"
"125029",E1201N4821,"30","0.53"
"125027",E1199N4821,"20","0.47"
"125026",E1198N4821,"15","0.47"
"125025",E1197N4821,"15","0.49"
"124873",E1208N4822,"5","0.53"
"124872",E1207N4822,"15","0.52"
"124871",E1206N4822,"5","0.48"
"124870",E1205N4822,"10","0.57"
"124868",E1202N4822,"15","0.55"
"124867",E1201N4822,"15","0.53"
"124865",E1199N4822,"10","0.52"
"125217",E1207N4820,"15","0.46"
"125218",E1208N4820,"20","0.41"
"120456",E1209N4842,"15","0.93"
"120457",E1210N4842,"20","0.97"
"120458",E1211N4842,"20","1.00"
"120459",E1212N4842,"15","0.99"
"120461",E1214N4842,"25","0.93"
"120462",E1215N4842,"20","0.94"
"120463",E1216N4842,"20","0.89"
"120464",E1217N4842,"20","0.87"
"120465",E1218N4842,"5","0.87"
"120467",E1220N4842,"15","0.93"
"120468",E1221N4842,"15","0.92"
"120469",E1222N4842,"45","0.87"
"120470",E1223N4842,"50","0.87"
"120471",E1224N4842,"40","0.87"
"120472",E1225N4842,"20","0.87"
"120473",E1226N4842,"5","0.87"
"120475",E1228N4842,"10","0.80"
"120477",E1230N4842,"10","0.70"
"120478",E1231N4842,"15","0.71"
"120479",E1232N4842,"35","0.73"
"120480",E1233N4842,"25","0.73"
"120481",E1234N4842,"25","0.73"
"120483",E1236N4842,"15","0.73"
"120484",E1237N4842,"5","0.73"
"123255",E1154N4830,"15","0.07"
"120953",E1162N4840,"5","0.32"
"120952",E1161N4840,"5","0.27"
