fid,crs28992re,INDEX_WALK,num_inh_2
"121247",E1227N4839,"0.79","15"
"121246",E1226N4839,"0.86","95"
"121245",E1225N4839,"0.84","280"
"121244",E1224N4839,"0.82","275"
"121243",E1223N4839,"0.87","295"
"121242",E1222N4839,"0.84","225"
"121241",E1221N4839,"0.80","150"
"119696",E1228N4845,"0.81","50"
"119695",E1225N4845,"0.80","60"
"119694",E1224N4845,"0.81","300"
"119693",E1223N4845,"0.86","210"
"119692",E1222N4845,"0.87","300"
"119691",E1221N4845,"0.87","225"
"122398",E1238N4834,"0.59","115"
"122397",E1237N4834,"0.67","60"
"122396",E1236N4834,"0.62","2"
"122395",E1235N4834,"0.56","2"
"122394",E1231N4834,"0.57","350"
"122393",E1230N4834,"0.61","130"
"122392",E1226N4834,"0.69","15"
"122391",E1224N4834,"0.72","5"
"122186",E1235N4835,"0.62","2"
"122185",E1232N4835,"0.67","215"
"122184",E1231N4835,"0.67","430"
"122183",E1230N4835,"0.72","330"
"122182",E1229N4835,"0.73","120"
"122181",E1226N4835,"0.79","20"
"122180",E1225N4835,"0.74","5"
"122179",E1223N4835,"0.76","15"
"121975",E1231N4836,"0.67","315"
"121974",E1230N4836,"0.72","145"
"121973",E1229N4836,"0.73","60"
"121972",E1228N4836,"0.73","115"
"121971",E1225N4836,"0.79","10"
"121970",E1224N4836,"0.80","10"
"121754",E1234N4837,"0.71","10"
"121753",E1233N4837,"0.67","65"
"121752",E1232N4837,"0.67","255"
"121751",E1231N4837,"0.67","295"
"121750",E1230N4837,"0.72","120"
"121749",E1226N4837,"0.80","5"
"121748",E1224N4837,"0.84","80"
