fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea
"117075",E1242N4854,"30","30"
"117076",E1243N4854,"30","30"
"117077",E1244N4854,"25","25"
"117078",E1245N4854,"5","5"
"117079",E1249N4854,"2","2"
"117080",E1250N4854,"2","2"
"117081",E1251N4854,"2","2"
"117376",E1212N4853,"35","35"
"117377",E1213N4853,"25","25"
"117378",E1214N4853,"25","25"
"117379",E1215N4853,"15","15"
"117380",E1216N4853,"10","10"
"117381",E1217N4853,"20","20"
"117382",E1218N4853,"25","25"
"117383",E1219N4853,"15","15"
"117384",E1220N4853,"20","20"
"117385",E1221N4853,"115","115"
"117386",E1222N4853,"2","2"
"117387",E1223N4853,"35","35"
"117388",E1224N4853,"60","60"
"117389",E1225N4853,"15","15"
"117390",E1226N4853,"2","2"
"117391",E1227N4853,"10","10"
"117392",E1228N4853,"25","25"
"117393",E1229N4853,"5","5"
"117394",E1230N4853,"50","50"
"117395",E1231N4853,"30","30"
"117396",E1232N4853,"30","30"
"117397",E1233N4853,"20","20"
"117398",E1234N4853,"15","15"
"117399",E1235N4853,"25","25"
"117400",E1236N4853,"25","25"
"117401",E1237N4853,"10","10"
"117402",E1238N4853,"20","20"
"117403",E1239N4853,"20","20"
"117404",E1240N4853,"15","15"
"117405",E1241N4853,"25","25"
"117406",E1242N4853,"35","35"
"117407",E1243N4853,"40","40"
"117408",E1244N4853,"25","25"
"117409",E1245N4853,"20","20"
"117410",E1246N4853,"10","10"
"117411",E1247N4853,"2","2"
"117412",E1250N4853,"2","2"
"117413",E1251N4853,"2","2"
"117414",E1252N4853,"2","2"
"116736",E1215N4855,"25","25"
"116737",E1216N4855,"5","5"
"116738",E1217N4855,"15","15"
"116739",E1218N4855,"20","20"
"116740",E1219N4855,"50","50"
"116741",E1220N4855,"20","20"
"116742",E1221N4855,"5","5"
"116743",E1222N4855,"2","2"
"116744",E1223N4855,"25","25"
"116745",E1224N4855,"25","25"
"116746",E1225N4855,"30","30"
"116747",E1226N4855,"40","40"
"116748",E1227N4855,"25","25"
"116749",E1228N4855,"35","35"
"116750",E1229N4855,"60","60"
"116751",E1230N4855,"20","20"
"116752",E1231N4855,"15","15"
"116753",E1232N4855,"35","35"
"116754",E1233N4855,"10","10"
"116755",E1234N4855,"15","15"
"116756",E1235N4855,"5","5"
"116757",E1236N4855,"20","20"
"116758",E1237N4855,"25","25"
"116759",E1238N4855,"60","60"
"116760",E1239N4855,"2","2"
"116761",E1240N4855,"2","2"
"116762",E1241N4855,"10","10"
"116763",E1242N4855,"10","10"
"116764",E1243N4855,"15","15"
"116765",E1244N4855,"2","2"
"116766",E1246N4855,"2","2"
"116767",E1247N4855,"2","2"
"116768",E1248N4855,"15","15"
"116769",E1249N4855,"5","5"
"116770",E1250N4855,"2","2"
"117696",E1216N4852,"5","5"
"117697",E1217N4852,"35","35"
"117698",E1218N4852,"30","30"
"117699",E1219N4852,"20","20"
"117700",E1220N4852,"30","30"
"117701",E1221N4852,"40","40"
"117702",E1222N4852,"10","10"
"117703",E1223N4852,"2","2"
"117704",E1224N4852,"25","25"
"117705",E1225N4852,"15","15"
"117706",E1226N4852,"2","2"
"117707",E1227N4852,"5","5"
"117708",E1228N4852,"2","2"
"117709",E1229N4852,"30","30"
"117710",E1230N4852,"20","20"
"117711",E1231N4852,"20","20"
"117712",E1232N4852,"45","45"
"117713",E1233N4852,"25","25"
"117714",E1234N4852,"25","25"
"117715",E1235N4852,"25","25"
"117716",E1236N4852,"15","15"
"117717",E1237N4852,"20","20"
"117718",E1238N4852,"10","10"
"117719",E1239N4852,"25","25"
"117720",E1240N4852,"30","30"
"117721",E1241N4852,"35","35"
"117722",E1242N4852,"20","20"
"117723",E1243N4852,"15","15"
"117724",E1244N4852,"2","2"
"117725",E1245N4852,"2","2"
"117726",E1246N4852,"20","20"
"117727",E1247N4852,"15","15"
"117728",E1248N4852,"2","2"
"117729",E1251N4852,"2","2"
"117730",E1252N4852,"2","2"
"121511",E1227N4838,"2","2"
"121510",E1225N4838,"10","10"
"121509",E1224N4838,"25","25"
"121508",E1223N4838,"20","20"
"121507",E1222N4838,"30","30"
"121506",E1221N4838,"30","30"
"121248",E1229N4839,"2","2"
"121247",E1227N4839,"2","2"
"121246",E1226N4839,"15","15"
"121245",E1225N4839,"40","40"
"121244",E1224N4839,"30","30"
"121243",E1223N4839,"35","35"
"121242",E1222N4839,"40","40"
"121241",E1221N4839,"15","15"
"119696",E1228N4845,"5","5"
"119695",E1225N4845,"2","2"
"119694",E1224N4845,"45","45"
"119693",E1223N4845,"20","20"
"119692",E1222N4845,"40","40"
"119691",E1221N4845,"20","20"
"122398",E1238N4834,"2","2"
"122397",E1237N4834,"2","2"
"122396",E1236N4834,"2","2"
"122395",E1235N4834,"2","2"
"122394",E1231N4834,"5","5"
"122393",E1230N4834,"5","5"
"122392",E1226N4834,"2","2"
"122391",E1224N4834,"2","2"
