fid,crs28992re,num_nonwes
"124854",E1188N4822,32.000
"124855",E1189N4822,34.000
"124856",E1190N4822,34.500
"124857",E1191N4822,16.500
"124687",E1189N4823,15.000
"124688",E1190N4823,24.000
"124527",E1188N4824,16.500
"124528",E1189N4824,30.000
"124529",E1190N4824,8.000
"124530",E1191N4824,11.000
"125745",E1191N4817,54.000
"125561",E1191N4818,9.000
"125928",E1190N4816,13.000
"125560",E1190N4818,-39998.800
"125744",E1188N4817,9.000
"125559",E1188N4818,15.000
"125563",E1194N4818,8.000
"125933",E1195N4816,-24999.250
"125934",E1196N4816,26.000
"125566",E1197N4818,38.000
"125936",E1198N4816,80.000
"125567",E1198N4818,33.000
"125937",E1199N4816,6.000
"125938",E1200N4816,235.000
"125569",E1200N4818,7.000
"125939",E1201N4816,58.500
"125570",E1201N4818,22.500
"125940",E1202N4816,8.500
"125572",E1203N4818,40.000
"125573",E1204N4818,4.500
"125574",E1205N4818,13.500
